Figure number and title,Panel,Version,Script name,Script path,Working directory,Purpose,Exact command,Input files,Input tables,Intermediate data,Parameters and filters,Random seed,Dependencies,Output files,Output directory,Relation to other scripts,Relation to application,Execution order,Execution status
Figure 1: Figure1_sampling_map,Complete figure,Original/final,generate_amazon_coordinate_figure.py,scripts/generate_amazon_coordinate_figure.py,CangaMetaG_App_Final/,Generate Figure1_sampling_map from the documented packaged study inputs.,python scripts/generate_amazon_coordinate_figure.py --base-dir .,outputs/app_supplementary_figures; outputs/final_publication_figures,data/final_publication_derived/SupplementaryFigure30_verified_coordinates_source.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure1_sampling_map.png; outputs/final_publication_figures/Figure1_sampling_map.pdf; outputs/final_publication_figures/Figure1_sampling_map.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 1; Supplementary Figure 30,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 2: Figure2_taxonomic_phylum_bacteria_horizontal_CDS,Complete figure,Original/final,generate_final_domain_taxonomy_figures.py,scripts/generate_final_domain_taxonomy_figures.py,CangaMetaG_App_Final/,Generate Figure2_taxonomic_phylum_bacteria_horizontal_CDS from the documented packaged study inputs.,python scripts/generate_final_domain_taxonomy_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure2_taxonomic_phylum_bacteria_horizontal_CDS.png; outputs/final_publication_figures/Figure2_taxonomic_phylum_bacteria_horizontal_CDS.pdf; outputs/final_publication_figures/Figure2_taxonomic_phylum_bacteria_horizontal_CDS.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 2; Figure 3,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 3: Figure3_taxonomic_phylum_archaea_horizontal_CDS,Complete figure,Original/final,generate_final_domain_taxonomy_figures.py,scripts/generate_final_domain_taxonomy_figures.py,CangaMetaG_App_Final/,Generate Figure3_taxonomic_phylum_archaea_horizontal_CDS from the documented packaged study inputs.,python scripts/generate_final_domain_taxonomy_figures.py --base-dir .,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure3_taxonomic_phylum_archaea_horizontal_CDS.png; outputs/final_publication_figures/Figure3_taxonomic_phylum_archaea_horizontal_CDS.pdf; outputs/final_publication_figures/Figure3_taxonomic_phylum_archaea_horizontal_CDS.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 2; Figure 3,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 4: Figure4_taxonomic_bacteria_genus_profiles,Complete figure,Original/final,generate_figures4_5_s17_revision3.py,scripts/figures/generate_figures4_5_s17_revision3.py,CangaMetaG_App_Final/,Generate Figure4_taxonomic_bacteria_genus_profiles from the documented packaged study inputs.,python scripts/figures/generate_figures4_5_s17_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure4_taxonomic_bacteria_genus_profiles.png; outputs/final_publication_figures/Figure4_taxonomic_bacteria_genus_profiles.pdf; outputs/final_publication_figures/Figure4_taxonomic_bacteria_genus_profiles.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 4; Figure 5; Supplementary Figure 5; Supplementary Figure 17,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 5: Figure5_taxonomic_archaea_genus_profiles,Complete figure,Original/final,generate_figures4_5_s17_revision3.py,scripts/figures/generate_figures4_5_s17_revision3.py,CangaMetaG_App_Final/,Generate Figure5_taxonomic_archaea_genus_profiles from the documented packaged study inputs.,python scripts/figures/generate_figures4_5_s17_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure5_taxonomic_archaea_genus_profiles.png; outputs/final_publication_figures/Figure5_taxonomic_archaea_genus_profiles.pdf; outputs/final_publication_figures/Figure5_taxonomic_archaea_genus_profiles.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 4; Figure 5; Supplementary Figure 5; Supplementary Figure 17,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 6: Figure6_taxon_differential_abundance,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate Figure6_taxon_differential_abundance from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure6_taxon_differential_abundance.png; outputs/final_publication_figures/Figure6_taxon_differential_abundance.pdf; outputs/final_publication_figures/Figure6_taxon_differential_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 7: Figure7_MAG_quality_and_abundance,Complete figure,Original/final,generate_figure7.py,scripts/figures/generate_figure7.py,CangaMetaG_App_Final/,Generate Figure7_MAG_quality_and_abundance from the documented packaged study inputs.,python scripts/figures/generate_figure7.py --base-dir .,Not applicable,data/Supplementary_table_7-MAGS-Quality-Genome_Lineage-Classification.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure7_MAG_quality_and_abundance.png; outputs/final_publication_figures/Figure7_MAG_quality_and_abundance.pdf; outputs/final_publication_figures/Figure7_MAG_quality_and_abundance.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 7,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Figure 8: Figure8_KO_differential_abundance_dry_rainy,Complete figure,Original/final,generate_figure8.py,scripts/figures/generate_figure8.py,CangaMetaG_App_Final/,Generate Figure8_KO_differential_abundance_dry_rainy from the documented packaged study inputs.,python scripts/figures/generate_figure8.py --base-dir .,Not applicable,data/publication_sources/Supplementary_Table_5.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/Figure8_KO_differential_abundance_dry_rainy.png; outputs/final_publication_figures/Figure8_KO_differential_abundance_dry_rainy.pdf; outputs/final_publication_figures/Figure8_KO_differential_abundance_dry_rainy.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 8,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 1: SupplementaryFigure1_metrics_boxplots_vivid,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure1_metrics_boxplots_vivid from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure1_metrics_boxplots_vivid.png; outputs/final_publication_figures/SupplementaryFigure1_metrics_boxplots_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure1_metrics_boxplots_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 2: SupplementaryFigure2_rarefaction_curves_CDS_32999,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure2_rarefaction_curves_CDS_32999 from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure2_rarefaction_curves_CDS_32999.png; outputs/final_publication_figures/SupplementaryFigure2_rarefaction_curves_CDS_32999.pdf; outputs/final_publication_figures/SupplementaryFigure2_rarefaction_curves_CDS_32999.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
