Figure,Caption,Reproducibility
Supplementary Figure 43,Supplementary Figure 43. Bacteria phylum-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 44,Supplementary Figure 44. Bacteria phylum-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 45,Supplementary Figure 45. Archaea phylum-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 46,Supplementary Figure 46. Archaea phylum-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 47,Supplementary Figure 47. Bacteria class-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 48,Supplementary Figure 48. Bacteria class-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 49,Supplementary Figure 49. Archaea class-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 50,Supplementary Figure 50. Archaea class-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 51,Supplementary Figure 51. Bacteria order-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 52,Supplementary Figure 52. Bacteria order-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
